	date	sensorName	time	value	worksession
213	08:01:19	lum	11:43:27	177.0	6
214	08:01:19	temp	11:43:27	23.0	6
215	08:01:19	hum	11:43:27	45.0	6
216	08:01:19	lum	11:43:35	177.0	6
217	08:01:19	temp	11:43:35	23.0	6
218	08:01:19	hum	11:43:35	45.0	6
219	08:01:19	lum	11:43:43	177.0	6
220	08:01:19	temp	11:43:43	23.0	6
221	08:01:19	hum	11:43:43	44.0	6
222	08:01:19	lum	11:23:21	45.0	6
223	08:01:19	temp	11:23:21	18.0	6
224	08:01:19	hum	11:23:21	39.0	6
225	08:01:19	lum	11:23:29	60.0	6
226	08:01:19	temp	11:23:29	18.0	6
227	08:01:19	hum	11:23:29	39.0	6
228	08:01:19	lum	11:23:37	59.0	7
229	08:01:19	temp	11:23:37	18.0	7
230	08:01:19	hum	11:23:37	39.0	7
231	08:01:19	lum	11:23:45	63.0	7
232	08:01:19	temp	11:23:45	18.0	7
233	08:01:19	hum	11:23:45	39.0	7
234	08:01:19	lum	11:23:53	49.0	7
235	08:01:19	temp	11:23:53	18.0	7
236	08:01:19	hum	11:23:53	39.0	7
237	08:01:19	lum	11:24:01	67.0	7
238	08:01:19	temp	11:24:01	18.0	7
239	08:01:19	hum	11:24:01	39.0	7
240	08:01:19	lum	11:24:09	60.0	7
241	08:01:19	temp	11:24:09	18.0	7
242	08:01:19	hum	11:24:09	41.0	7
243	08:01:19	lum	11:24:17	41.0	7
244	08:01:19	temp	11:24:17	18.0	7
245	08:01:19	hum	11:24:17	41.0	7
246	08:01:19	lum	11:24:25	60.0	7
247	08:01:19	temp	11:24:25	18.0	7
248	08:01:19	hum	11:24:25	40.0	7
249	08:01:19	lum	11:24:33	48.0	7
250	08:01:19	temp	11:24:33	18.0	7
251	08:01:19	hum	11:24:33	40.0	7
252	08:01:19	lum	11:24:41	60.0	7
253	08:01:19	temp	11:24:41	18.0	7
254	08:01:19	hum	11:24:41	39.0	7
255	08:01:19	lum	11:24:49	52.0	7
256	08:01:19	temp	11:24:49	18.0	7
257	08:01:19	hum	11:24:49	40.0	7
258	08:01:19	lum	11:24:57	56.0	7
259	08:01:19	temp	11:24:57	18.0	7
